Label,Area (µm^2),EquivalentDiameter (µm),MajorAxisLength (µm),MinorAxisLength (µm),Perimeter (µm),Orientation (deg),AspectRatio,Circularity,Solidity,Class
1785,576.0,27.081100010292303,24.0,24.0,48.0,-45.00001609038752,1.0,3.141592653589793,1.0,Silt/Clay
1786,4320.0,74.1646467884524,97.29743065515189,61.53316169274832,239.22034611053286,-1.7052170382404674,1.5812194267049726,0.9486311514414909,0.8108108108108109,Very Fine Sand
1787,11664.0,121.86495004631536,226.8030634185099,75.06915000644358,533.0437226013956,-87.1064893923658,3.0212552479819235,0.5158598274262814,0.7570093457943925,Very Fine Sand
1788,3024.0,62.05059534991693,98.00196468194895,49.42963066689646,214.79393923934,-86.10050416300089,1.9826562197556918,0.8236592974532843,0.7777777777777778,Silt/Clay
1789,24624.0,177.06566733717366,263.26719744541435,132.6063996709584,713.0437226013958,-69.53434251941108,1.9853279939631105,0.608605881207541,0.8066037735849056,Fine Sand
1790,8352.0,103.12175656779746,126.32153727082368,91.58758967142475,376.6173157302028,-73.36637503056421,1.3792429490066151,0.7399455833906163,0.8405797101449275,Very Fine Sand
1791,20448.0,161.3542754647196,243.70562305536623,113.0400360554698,614.5584412271571,72.48685497528147,2.155923083178933,0.6803530310424524,0.8819875776397516,Fine Sand
1792,7344.0,96.69886874485675,104.7663406754674,95.05947884830496,316.61731573020285,21.297022356726696,1.102113560317878,0.9206047405782934,0.8360655737704918,Very Fine Sand
1793,5040.0,80.10697413749455,108.31131871679966,89.64395032384826,308.73506473629425,12.591253471664318,1.2082390203188678,0.6644594547538862,0.6481481481481481,Very Fine Sand
1794,5760.0,85.63795757533302,138.41639412812276,61.5293575179213,339.7645019878171,-53.676071031670475,2.249599211040145,0.6270127070274646,0.7547169811320755,Very Fine Sand
1795,9936.0,112.47625578978247,139.94711629028808,99.13233842217987,417.58787847868,-8.465296038087295,1.4117201159352084,0.7160208675031464,0.8214285714285714,Very Fine Sand
1796,3312.0,64.93819655767211,86.418318694721,49.620134500552005,207.7645019878171,-47.19554626591519,1.7415978325040538,0.964178620929597,0.8846153846153846,Very Fine Sand
1797,5616.0,84.56070767935114,92.65676618679457,84.38066402245701,291.7645019878171,71.28073970126268,1.09808055269789,0.8290334614869914,0.7959183673469388,Very Fine Sand
1798,17424.0,148.94605005660765,188.77502785944958,134.14212315165904,584.3818177180199,72.32309725948568,1.4072762785036839,0.6411569237538935,0.8402777777777778,Fine Sand
1799,7056.0,94.78385003602305,152.6537269062203,73.17334922566711,370.79393923934,-81.21556776623237,2.0861929721903962,0.6449160457581656,0.7205882352941176,Very Fine Sand
1800,4896.0,78.95429570975449,111.29154014226526,64.87352091261835,287.2203461105329,-52.19765308235517,1.7155156460857097,0.7457974098878808,0.8717948717948718,Very Fine Sand
1801,1440.0,42.81897878766651,69.47505249404446,26.941734928355444,122.48528137423858,-76.64552234610757,2.578714870397001,1.2061589610298826,0.8333333333333334,Silt/Clay
1802,3744.0,69.0435287010191,89.62308037277937,56.27899045176163,224.3086578651014,74.05690265839597,1.5924784658246125,0.9350904691068808,0.8666666666666667,Very Fine Sand
1803,24912.0,178.09812895828628,348.4021407064191,160.54914764104566,948.1463197058372,-13.153086998314652,2.1700653402743284,0.3482312421279019,0.590443686006826,Fine Sand
1804,19296.0,156.7431984336472,198.7580378329362,143.59019985103137,627.8376618407357,-18.628964897481712,1.3842033651261652,0.6151519804028723,0.783625730994152,Fine Sand
1805,14976.0,138.0870574020382,186.8706986362259,116.2947895904343,525.5878784786801,45.22790527082997,1.6068707746438602,0.6812633317792725,0.8253968253968254,Fine Sand
1806,6048.0,87.75279349717744,112.07757587804528,73.61181031569639,282.24978336205567,-87.76612543357552,1.5225488328215555,0.9540132620106012,0.84,Very Fine Sand
1807,6768.0,92.82933393474059,150.24976731056717,73.03258789317537,408.0731598529186,-72.8694746059564,2.0572975933748534,0.5107332732884614,0.6911764705882353,Very Fine Sand
1808,18288.0,152.59424888938855,324.74756296623593,118.85599812776184,802.4406922210658,-11.69179664905004,2.7322774456629033,0.35690299243786333,0.6446700507614214,Fine Sand
1809,7200.0,95.74614729634385,160.41589654872647,59.702630883975985,346.79393923934,11.483265988594516,2.686915034958395,0.7523143791224094,0.8771929824561403,Very Fine Sand
1810,24192.0,175.50558699435487,226.41459765828927,147.32977506361766,724.2640687119286,-54.90926647790919,1.536787778034158,0.5795457932034861,0.7850467289719626,Fine Sand
1811,75312.0,309.66145480684963,538.2548733982217,260.7108881602112,1813.925107043527,-26.477979528627415,2.064566145267608,0.2876307680203687,0.6308805790108565,Medium Sand
1812,11808.0,122.61489527880698,298.71949821292486,87.80132036237697,662.98484809835,-12.014893987517665,3.402221025606885,0.3375817826888781,0.5616438356164384,Very Fine Sand
1813,45504.0,240.70208192624517,329.3300196800838,188.59093789169364,994.0874452027913,10.94918899422125,1.7462664079289725,0.5786424099925302,0.8337730870712401,Fine Sand
1814,7344.0,96.69886874485675,143.9276443882496,68.89590938247706,339.76450198781714,10.577860900960614,2.089059360392971,0.7994412014600171,0.864406779661017,Very Fine Sand
1815,17856.0,150.78118354354123,195.2143403551143,125.56071214014796,549.5878784786801,-30.88753844724539,1.5547406272849151,0.7428818541346683,0.8671328671328671,Fine Sand
1816,13248.0,129.87639311534423,200.16077359756463,97.62966399242794,542.98484809835,-27.779528271989303,2.0502044707752853,0.5646570589747534,0.8141592920353983,Fine Sand
1817,6624.0,91.83647828790974,118.12361683353794,86.29604709091267,327.7645019878171,3.4507110122127704,1.3688183968507273,0.7748298714006805,0.7796610169491526,Very Fine Sand
1818,2448.0,55.82911790017533,70.18518014624301,43.93443136613599,156.8528137423857,-76.03553783323358,1.597498316555901,1.2503645434029416,0.9444444444444444,Silt/Clay
1819,3168.0,63.51080914081473,111.79219983328053,42.34402499916713,209.82337649086287,-85.10969275147654,2.640093846427669,0.9042474527884362,0.7333333333333333,Very Fine Sand
1820,3024.0,62.05059534991693,80.64282272696163,56.232030597132294,202.36753236814715,31.517154052965832,1.4341083163920854,0.9279188107668586,0.9130434782608695,Silt/Clay
